date,platform,campaign_type,industry,country,impressions,clicks,ad_spend,conversions,revenue
2024-01-01,Google Ads,Search,SaaS,India,21702,1000,3170.0,17,3670.88
2024-01-01,TikTok Ads,Display,SaaS,USA,103026,9066,12964.38,278,46631.0
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,7834.2,296,50505.07
2024-01-02,Meta Ads,Video,EdTech,USA,138639,2204,3967.2,154,35803.07
2024-01-02,Meta Ads,Search,Healthcare,India,163624,4368,5591.04,296,31041.33
2024-01-02,Meta Ads,Display,SaaS,UK,143485,3945,2800.95,187,30765.32
2024-01-03,Meta Ads,Video,EdTech,India,149375,6109,13317.62,89,22418.8
2024-01-03,Meta Ads,Display,Fintech,Canada,129750,2452,2672.68,93,23770.39
2024-01-03,TikTok Ads,Search,Healthcare,USA,69277,5057,5360.42,268,57608.77
2024-01-03,Meta Ads,Search,E-commerce,UK,91392,2705,5518.2,87,12147.08
2024-01-04,Meta Ads,Shopping,EdTech,UK,117217,2133,2751.57,129,25455.36
2024-01-04,Google Ads,Display,Fintech,UK,20198,878,2353.04,67,5967.58
2024-01-04,Meta Ads,Search,Healthcare,UK,122897,2040,1570.8,159,45753.83
2024-01-04,Meta Ads,Display,EdTech,India,97152,1156,624.24,43,4965.75
2024-01-04,Google Ads,Video,EdTech,Germany,89730,4621,12384.28,277,13483.54
2024-01-04,Meta Ads,Shopping,EdTech,UK,184729,2586,2327.4,201,16864.93
2024-01-04,Meta Ads,Shopping,Healthcare,Canada,91284,2126,1955.92,132,23916.94
2024-01-04,Google Ads,Display,E-commerce,USA,52897,1883,5215.91,108,5473.28
2024-01-05,TikTok Ads,Display,Fintech,UAE,6015,410,791.3,28,4383.32
2024-01-05,Google Ads,Search,EdTech,UK,41378,2023,2488.29,73,9343.63
2024-01-05,Meta Ads,Display,SaaS,USA,10939,113,133.34,6,1684.43
2024-01-05,Meta Ads,Display,E-commerce,Germany,88732,1579,694.76,32,4757.82
2024-01-05,Google Ads,Video,SaaS,India,135223,3285,9920.7,201,46154.22
2024-01-05,TikTok Ads,Video,EdTech,Australia,52059,2956,1684.92,29,5633.14
2024-01-05,Meta Ads,Shopping,E-commerce,USA,139257,2631,4235.91,99,9781.28
2024-01-05,Google Ads,Shopping,Healthcare,UAE,20091,956,3259.96,36,9230.05
2024-01-06,Meta Ads,Search,Healthcare,Australia,17763,726,1408.44,30,1946.19
2024-01-06,Google Ads,Video,E-commerce,UK,139158,3061,3887.47,118,15835.46
2024-01-06,Meta Ads,Video,Healthcare,Australia,131681,1725,1362.75,108,31291.1
2024-01-07,Meta Ads,Shopping,Fintech,Australia,182235,5047,3734.78,260,53450.65
